#Data tag : 24v2 , Norm tag: composite
+--------------+-------------------+------+----------------------------------------------------------------+----------------+---------------+
| run:fill     | time              | ncms | hltpath                                                        | delivered(/nb) | recorded(/nb) |
+--------------+-------------------+------+----------------------------------------------------------------+----------------+---------------+
| 399465:11289 | 11/14/25 14:40:59 | 131  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000043928    | 0.000022790   |
| 399466:11289 | 11/14/25 15:34:49 | 41   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000482    | 0.000000454   |
| 399467:11289 | 11/14/25 15:53:33 | 37   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000398    | 0.000000382   |
| 399468:11289 | 11/14/25 16:10:50 | 3    | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000031    | 0.000000008   |
| 399471:11289 | 11/14/25 16:22:29 | 82   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000070649    | 0.000019115   |
| 399484:11290 | 11/14/25 18:59:51 | 32   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000597    | 0.000000561   |
| 399485:11290 | 11/14/25 19:13:35 | 71   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000065177    | 0.000056556   |
| 399486:11290 | 11/14/25 19:44:03 | 38   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000050    | 0.000000048   |
| 399487:11290 | 11/14/25 20:01:49 | 3    | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000000004    | 0.000000003   |
| 399488:11290 | 11/14/25 20:04:43 | 59   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000024641    | 0.000022550   |
| 399489:11290 | 11/14/25 20:29:32 | 55   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000010891    | 0.000009615   |
| 399490:11290 | 11/14/25 20:55:43 | 256  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000065054    | 0.000060842   |
| 399499:11292 | 11/15/25 02:17:03 | 242  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000283481    | 0.000262498   |
| 399540:11297 | 11/15/25 15:09:12 | 332  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000128452    | 0.000115672   |
| 399542:11297 | 11/15/25 17:23:24 | 42   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000007705    | 0.000005614   |
| 399543:11297 | 11/15/25 17:42:26 | 923  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000235050    | 0.000212703   |
| 399572:11303 | 11/16/25 13:36:40 | 955  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000343776    | 0.000332233   |
| 399584:11304 | 11/16/25 22:29:20 | 53   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000019561    | 0.000017047   |
| 399586:11304 | 11/16/25 22:58:03 | 17   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000006762    | 0.000005073   |
| 399587:11304 | 11/16/25 23:07:43 | 42   | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000027705    | 0.000024257   |
| 399588:11304 | 11/16/25 23:27:27 | 216  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000171833    | 0.000158240   |
| 399589:11304 | 11/17/25 00:54:24 | 175  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000108421    | 0.000103518   |
| 399593:11305 | 11/17/25 05:28:52 | 227  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000262589    | 0.000240785   |
| 399618:11307 | 11/17/25 11:10:54 | 312  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000076572    | 0.000071196   |
| 399619:11307 | 11/17/25 13:15:26 | 295  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000043939    | 0.000041544   |
| 399620:11307 | 11/17/25 15:12:43 | 329  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000040726    | 0.000039699   |
| 399655:11310 | 11/17/25 21:25:36 | 179  | HLT_HIUPC_ZeroBias_MinPixelCluster400_MaxPixelCluster10000_v16 | 0.000059263    | 0.000051849   |
